Anno;Continente;Area;Paese;Sesso;Trasferiti dall'Italia (espatri) (p);Trasferiti in Italia (rimpatri) (p);Saldo migratorio con l'Italia (p)
2024;America;America centro meridionale;Messico;Totale;338;279;59
2024;America;America centro meridionale;Nicaragua;Maschi;10;12;-2
2024;America;America centro meridionale;Nicaragua;Femmine;4;8;-4
2024;America;America centro meridionale;Nicaragua;Totale;14;20;-6
2024;America;America centro meridionale;Panama;Maschi;61;47;14
2024;America;America centro meridionale;Panama;Femmine;43;32;11
2024;America;America centro meridionale;Panama;Totale;104;79;25
2024;America;America centro meridionale;Santa Lucia;Maschi;1;0;1
2024;America;America centro meridionale;Santa Lucia;Femmine;0;0;0
2024;America;America centro meridionale;Santa Lucia;Totale;1;0;1
2024;America;America centro meridionale;Saint Vincent e Grenadine;Maschi;0;1;-1
2024;America;America centro meridionale;Saint Vincent e Grenadine;Femmine;0;2;-2
2024;America;America centro meridionale;Saint Vincent e Grenadine;Totale;0;3;-3
2024;America;America centro meridionale;Saint Kitts e Nevis;Maschi;0;0;0
2024;America;America centro meridionale;Saint Kitts e Nevis;Femmine;0;0;0
2024;America;America centro meridionale;Saint Kitts e Nevis;Totale;0;0;0
2024;America;America centro meridionale;Argentina;Maschi;2661;1528;1133
2024;America;America centro meridionale;Argentina;Femmine;2661;1304;1357
2024;America;America centro meridionale;Argentina;Totale;5322;2832;2490
2024;America;America centro meridionale;Bolivia;Maschi;31;30;1
2024;America;America centro meridionale;Bolivia;Femmine;22;24;-2
2024;America;America centro meridionale;Bolivia;Totale;53;54;-1
2024;America;America centro meridionale;Brasile;Maschi;5555;1713;3842
2024;America;America centro meridionale;Brasile;Femmine;5254;1464;3790
2024;America;America centro meridionale;Brasile;Totale;10809;3177;7632
2024;America;America centro meridionale;Cile;Maschi;133;176;-43
2024;America;America centro meridionale;Cile;Femmine;126;137;-11
2024;America;America centro meridionale;Cile;Totale;259;313;-54
2024;America;America centro meridionale;Colombia;Maschi;186;177;9
2024;America;America centro meridionale;Colombia;Femmine;153;125;28
2024;America;America centro meridionale;Colombia;Totale;339;302;37
2024;America;America centro meridionale;Ecuador;Maschi;100;140;-40
2024;America;America centro meridionale;Ecuador;Femmine;122;165;-43
2024;America;America centro meridionale;Ecuador;Totale;222;305;-83
2024;America;America centro meridionale;Guyana;Maschi;0;0;0
2024;America;America centro meridionale;Guyana;Femmine;0;0;0
2024;America;America centro meridionale;Guyana;Totale;0;0;0
2024;America;America centro meridionale;Paraguay;Maschi;51;29;22
2024;America;America centro meridionale;Paraguay;Femmine;58;22;36
2024;America;America centro meridionale;Paraguay;Totale;109;51;58
2024;America;America centro meridionale;Perù;Maschi;169;196;-27
2024;America;America centro meridionale;Perù;Femmine;192;198;-6
2024;America;America centro meridionale;Perù;Totale;361;394;-33
2024;America;America centro meridionale;Suriname;Maschi;0;0;0
2024;America;America centro meridionale;Suriname;Femmine;0;0;0
2024;America;America centro meridionale;Suriname;Totale;0;0;0
2024;America;America centro meridionale;Trinidad e Tobago;Maschi;2;3;-1
2024;America;America centro meridionale;Trinidad e Tobago;Femmine;0;0;0
2024;America;America centro meridionale;Trinidad e Tobago;Totale;2;3;-1
2024;America;America centro meridionale;Uruguay;Maschi;108;53;55
2024;America;America centro meridionale;Uruguay;Femmine;107;51;56
2024;America;America centro meridionale;Uruguay;Totale;215;104;111
2024;America;America centro meridionale;Venezuela;Maschi;310;455;-145
2024;America;America centro meridionale;Venezuela;Femmine;299;480;-181
2024;America;America centro meridionale;Venezuela;Totale;609;935;-326
2024;Oceania;Oceania;Australia;Maschi;2285;703;1582
2024;Oceania;Oceania;Australia;Femmine;1670;529;1141
2024;Oceania;Oceania;Australia;Totale;3955;1232;2723
2024;Oceania;Oceania;Figi;Maschi;0;1;-1
2024;Oceania;Oceania;Figi;Femmine;0;3;-3
2024;Oceania;Oceania;Figi;Totale;0;4;-4
2024;Oceania;Oceania;Kiribati;Maschi;0;0;0
2024;Oceania;Oceania;Kiribati;Femmine;0;0;0
2024;Oceania;Oceania;Kiribati;Totale;0;0;0
2024;Oceania;Oceania;Isole Marshall;Maschi;0;0;0
2024;Oceania;Oceania;Isole Marshall;Femmine;0;0;0
2024;Oceania;Oceania;Isole Marshall;Totale;0;0;0
2024;Oceania;Oceania;Stati Federati di Micronesia;Maschi;0;0;0
2024;Oceania;Oceania;Stati Federati di Micronesia;Femmine;0;0;0
2024;Oceania;Oceania;Stati Federati di Micronesia;Totale;0;0;0
2024;Oceania;Oceania;Nauru;Maschi;0;0;0
2024;Oceania;Oceania;Nauru;Femmine;0;0;0
2024;Oceania;Oceania;Nauru;Totale;0;0;0
2024;Oceania;Oceania;Nuova Zelanda;Maschi;129;53;76
2024;Oceania;Oceania;Nuova Zelanda;Femmine;101;47;54
2024;Oceania;Oceania;Nuova Zelanda;Totale;230;100;130
2024;Oceania;Oceania;Palau;Maschi;1;0;1
2024;Oceania;Oceania;Palau;Femmine;2;0;2
2024;Oceania;Oceania;Palau;Totale;3;0;3
2024;Oceania;Oceania;Papua Nuova Guinea;Maschi;1;1;0
2024;Oceania;Oceania;Papua Nuova Guinea;Femmine;0;1;-1
2024;Oceania;Oceania;Papua Nuova Guinea;Totale;1;2;-1
2024;Oceania;Oceania;Isole Salomone;Maschi;0;1;-1
2024;Oceania;Oceania;Isole Salomone;Femmine;0;0;0
2024;Oceania;Oceania;Isole Salomone;Totale;0;1;-1
2024;Oceania;Oceania;Samoa;Maschi;0;0;0
2024;Oceania;Oceania;Samoa;Femmine;0;0;0
2024;Oceania;Oceania;Samoa;Totale;0;0;0
2024;Oceania;Oceania;Tonga;Maschi;0;0;0
2024;Oceania;Oceania;Tonga;Femmine;0;0;0
2024;Oceania;Oceania;Tonga;Totale;0;0;0
2024;Oceania;Oceania;Tuvalu;Maschi;0;0;0
2024;Oceania;Oceania;Tuvalu;Femmine;0;0;0
2024;Oceania;Oceania;Tuvalu;Totale;0;0;0
2024;Oceania;Oceania;Vanuatu;Maschi;0;0;0
2024;Oceania;Oceania;Vanuatu;Femmine;1;0;1
2024;Oceania;Oceania;Vanuatu;Totale;1;0;1
